time (s)	coil I (A)	last det (V)	int current (uC)
10934.862299	0.879880	0.450936	381.868073
10934.863333	1.322527	0.450936	1749.360718
10934.864306	1.323885	0.450936	3037.501221
10934.865232	1.295453	0.450936	4237.090820
10934.866109	1.266522	0.450936	5347.831055
10934.867212	1.234058	0.450936	6708.996582
10934.868127	1.206530	0.450936	7812.971191
10934.868995	1.181799	0.450936	8838.773437
10934.870039	1.153085	0.450936	10042.593750
10934.871025	1.128732	0.450936	11155.523437
10934.871912	1.110633	0.450936	12140.655273
10934.872787	1.087529	0.450936	13092.243164
10934.873911	1.061367	0.450936	14285.219727
10934.874805	1.039702	0.450936	15214.713867
10934.875671	1.019154	0.450936	16097.300781
10934.876730	0.848449	0.450936	16995.808594
10934.877703	0.133085	0.450936	17125.300781
10934.878571	0.083855	0.450936	17198.085937
10934.879435	0.083961	0.450936	17270.628906
10934.880547	0.083932	0.450936	17363.960937
10934.881425	0.083844	0.450936	17437.576172
10934.882292	0.083983	0.450936	17510.388672
10934.883340	0.083903	0.450936	17598.318359
10934.884312	0.083961	0.450936	17679.927734
10934.885240	0.083998	0.450936	17757.876953
10934.886103	0.083979	0.450936	17830.351562
10936.060437	0.921240	0.248291	470.753723
10936.061327	1.322930	0.248291	1648.161133
10936.062187	1.328295	0.248291	2790.494629
10936.063291	1.296376	0.248291	4221.693359
10936.064258	1.265519	0.248291	5445.450195
10936.065124	1.238731	0.248291	6518.190918
10936.066176	1.207335	0.248291	7788.307617
10936.067228	1.177841	0.248291	9027.395508
10936.068114	1.153136	0.248291	10049.074219
10936.069044	1.130134	0.248291	11100.099609
10936.070105	1.108052	0.248291	12275.742187
10936.071050	1.084021	0.248291	13300.141602
10936.071914	1.062158	0.248291	14217.846680
10936.072982	1.037186	0.248291	15325.561523
10936.074007	1.013481	0.248291	16364.379883
10936.074880	0.816914	0.248291	17077.546875
10936.075863	0.127683	0.248291	17203.058594
10936.076921	0.083932	0.248291	17291.859375
10936.077838	0.083954	0.248291	17368.845703
10936.078701	0.084031	0.248291	17441.363281
10936.079776	0.084027	0.248291	17531.693359
10936.080775	0.083947	0.248291	17615.556641
10936.081665	0.084012	0.248291	17690.328125
10936.082640	0.083976	0.248291	17772.205078
10936.083694	0.083925	0.248291	17860.662109
10936.084605	0.084016	0.248291	17937.201172
10936.929730	0.851986	0.474183	362.946075
10936.930661	1.313990	0.474183	1586.271118
10936.931614	1.327866	0.474183	2851.727539
10936.932539	1.299650	0.474183	4053.903564
10936.933420	1.271455	0.474183	5174.055664
10936.934356	1.242444	0.474183	6336.983398
10936.935302	1.213594	0.474183	7485.042969
10936.936240	1.187021	0.474183	8598.468750
10936.937105	1.162471	0.474183	9604.005859
10936.938083	1.136869	0.474183	10715.863281
10936.939045	1.117760	0.474183	11791.148437
10936.939941	1.095681	0.474183	12772.878906
10936.940872	1.072742	0.474183	13771.601562
10936.941822	1.049985	0.474183	14769.087891
10936.942693	1.028551	0.474183	15664.956055
10936.943586	1.007574	0.474183	16564.720703
10936.944566	0.526399	0.474183	17080.591797
10936.945509	0.089077	0.474183	17164.591797
10936.946397	0.083851	0.474183	17239.052734
10936.947317	0.083903	0.474183	17316.242187
10936.948275	0.083855	0.474183	17396.576172
10936.949197	0.083950	0.474183	17473.978516
10936.950075	0.083910	0.474183	17547.652344
10936.951003	0.083870	0.474183	17625.482422
10936.951961	0.083899	0.474183	17705.857422
10936.952885	0.083932	0.474183	17783.410156
10936.953744	0.083928	0.474183	17855.503906
10938.126860	0.909770	0.234994	454.885254
10938.127754	1.322340	0.234994	1637.057373
10938.128631	1.329283	0.234994	2802.838867
10938.129642	1.299174	0.234994	4116.303223
10938.130638	1.267064	0.234994	5378.299316
10938.131534	1.239470	0.234994	6488.864746
10938.132397	1.212458	0.234994	7535.216309
10938.133486	1.182649	0.234994	8823.121094
10938.134387	1.157164	0.234994	9865.726562
10938.135323	1.133046	0.234994	10926.256836
10938.136187	1.115328	0.234994	11889.900391
10938.137244	1.089884	0.234994	13041.908203
10938.138128	1.067849	0.234994	13985.886719
10938.139004	1.046869	0.234994	14902.944336
10938.140001	1.023600	0.234994	15923.473633
10938.140941	1.000525	0.234994	16863.966797
10938.141823	0.327920	0.234994	17153.191406
10938.142780	0.085957	0.234994	17235.453125
10938.143807	0.083881	0.234994	17321.597656
10938.144694	0.083844	0.234994	17395.966797
10938.145571	0.083910	0.234994	17469.556641
10938.146538	0.083954	0.234994	17550.740234
10938.147501	0.083928	0.234994	17631.562500
10938.148422	0.083965	0.234994	17708.894531
10938.149281	0.083990	0.234994	17781.042969
10938.150311	0.084016	0.234994	17867.580078
10938.998232	0.868308	0.451516	383.792206
10938.999179	1.320333	0.451516	1634.147827
10939.000096	1.327544	0.451516	2851.505371
10939.000981	1.300206	0.451516	4002.187988
10939.001958	1.269525	0.451516	5242.514160
10939.002925	1.240100	0.451516	6441.690918
10939.003825	1.212990	0.451516	7533.381348
10939.004741	1.186842	0.451516	8620.528320
10939.005712	1.160189	0.451516	9747.072266
10939.006642	1.135283	0.451516	10802.885742
10939.007513	1.118178	0.451516	11776.818359
10939.008475	1.094553	0.451516	12829.778320
10939.009403	1.070999	0.451516	13823.665039
10939.010337	1.048762	0.451516	14803.208984
10939.011202	1.027551	0.451516	15692.041016
10939.012160	1.005656	0.451516	16655.458984
10939.013102	0.478755	0.451516	17106.445312
10939.013980	0.088740	0.451516	17184.359375
10939.014959	0.083848	0.451516	17266.445312
10939.015905	0.083884	0.451516	17345.800781
10939.016800	0.083906	0.451516	17420.896484
10939.017662	0.083906	0.451516	17493.224609
10939.018633	0.083877	0.451516	17574.669922
10939.019582	0.083888	0.451516	17654.279297
10939.020468	0.083873	0.451516	17728.591797
10939.021395	0.083859	0.451516	17806.328125
10939.022325	0.083888	0.451516	17884.343750
10940.194278	0.900044	0.249918	423.920715
10940.195179	1.320026	0.249918	1613.263672
10940.196059	1.329686	0.249918	2783.387695
