time (s)	coil I (A)	last det (V)	int current (uC)
10617.003481	0.879525	0.195016	381.713928
10617.004358	1.315001	0.195016	1534.969971
10617.005344	1.326694	0.195016	2843.090576
10617.006294	1.297826	0.195016	4076.025391
10617.007217	1.268723	0.195016	5247.056641
10617.008100	1.241283	0.195016	6343.109375
10617.009141	1.210554	0.195016	7603.296387
10617.010037	0.938130	0.195016	8443.860352
10617.010920	0.136208	0.195016	8564.132812
10617.011869	0.083840	0.195016	8643.697266
10617.012853	0.083840	0.195016	8726.196289
10617.013774	0.083833	0.195016	8803.406250
10617.014637	0.083793	0.195016	8875.719727
10617.015708	0.083840	0.195016	8965.512695
10617.016576	0.083895	0.195016	9038.333984
10617.017448	0.083910	0.195016	9111.503906
10617.018315	0.083866	0.195016	9184.215820
10617.019376	0.083873	0.195016	9273.205078
10618.235400	0.909404	0.072121	454.702179
10618.236302	1.321714	0.072121	1646.888062
10618.237178	1.327804	0.072121	2810.044434
10618.238180	1.298013	0.072121	4110.653320
10618.239187	1.265343	0.072121	5384.853516
10618.240078	1.238229	0.072121	6488.115234
10618.240940	1.211466	0.072121	7532.398926
10618.242042	0.773617	0.072121	8384.924805
10618.242970	0.100635	0.072121	8478.313477
10618.243852	0.083745	0.072121	8552.176758
10618.244836	0.083917	0.072121	8634.750977
10618.245833	0.083888	0.072121	8718.387695
10618.246717	0.083906	0.072121	8792.560547
10618.247577	0.083903	0.072121	8864.716797
10618.248632	0.083943	0.072121	8953.276367
10618.249556	0.083939	0.072121	9030.835937
10618.250423	0.083928	0.072121	9103.601562
10618.251378	0.084075	0.072121	9183.892578
10619.066866	0.889405	0.188756	416.241760
10619.067755	1.318275	0.188756	1588.188477
10619.068633	1.328591	0.188756	2754.691650
10619.069555	1.301715	0.188756	3954.873047
10619.070528	1.270770	0.188756	5191.332520
10619.071454	1.241748	0.188756	6341.191406
10619.072321	1.215410	0.188756	7394.952148
10619.073267	1.030280	0.188756	8369.596680
10619.074216	0.158595	0.188756	8520.103516
10619.075144	0.083822	0.188756	8597.890625
10619.076000	0.083840	0.188756	8669.658203
10619.076946	0.083844	0.188756	8748.974609
10619.077901	0.083848	0.188756	8829.048828
10619.078795	0.083947	0.188756	8904.096680
10619.079706	0.083895	0.188756	8980.525391
10619.080645	0.083873	0.188756	9059.282227
10619.081590	0.083932	0.188756	9138.597656
10619.082477	0.083914	0.188756	9213.029297
10620.299759	0.908306	0.083102	427.811951
10620.300680	1.320971	0.083102	1644.425781
10620.301563	1.327837	0.083102	2816.905762
10620.302489	1.300067	0.083102	4020.768066
10620.303457	1.269426	0.083102	5249.572754
10620.304375	1.240920	0.083102	6388.737793
10620.305253	1.214392	0.083102	7454.974121
10620.306228	0.984309	0.083102	8414.675781
10620.307156	0.138929	0.083102	8543.602539
10620.308084	0.083826	0.083102	8621.392578
10620.308942	0.083866	0.083102	8693.349609
10620.309917	0.083870	0.083102	8775.122070
10620.310849	0.083822	0.083102	8853.244141
10620.311742	0.083895	0.083102	8928.163086
10620.312651	0.083903	0.083102	9004.430664
10620.313603	0.083914	0.083102	9084.316406
10620.314498	0.083925	0.083102	9159.428711
10620.315371	0.083921	0.083102	9232.691406
10621.128206	0.917655	0.195939	457.909851
10621.129146	1.323999	0.195939	1702.468994
10621.130015	1.326738	0.195939	2855.404541
10621.131070	1.294365	0.195939	4220.959961
10621.132099	1.261989	0.195939	5519.545898
10621.133000	1.234120	0.195939	6631.487793
10621.133960	1.206211	0.195939	7789.450195
10621.135014	0.598462	0.195939	8420.229492
10621.135943	0.089755	0.195939	8503.611328
10621.136805	0.083785	0.195939	8575.833984
10621.137870	0.083947	0.195939	8665.237305
10621.138880	0.083873	0.195939	8749.949219
10621.139758	0.083892	0.195939	8823.606445
10621.140731	0.083979	0.195939	8905.318359
10621.141784	0.083936	0.195939	8993.702148
10621.142693	0.083881	0.195939	9069.949219
10621.143559	0.083950	0.195939	9142.650391
10621.144537	0.083979	0.195939	9224.782227
10622.365195	0.912433	0.080713	458.953766
10622.366075	1.320234	0.080713	1620.759888
10622.366971	1.326841	0.080713	2809.609375
10622.368061	1.294325	0.080713	4220.423828
10622.369027	1.264164	0.080713	5441.605957
